1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 1, 4, 2, 4, 3, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 
1, 1, 1, 2, 2, 3, 2, 4, 3, 3, 1, 4, 4, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 5, 6, 7, 8, 
1, 1, 1, 2, 1, 2, 3, 2, 3, 4, 3, 2, 4, 4, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 5, 7, 8, 8, 6, 8, 7, 8, 
1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 5, 7, 7, 7, 6, 8, 8, 8, 7, 8, 
1, 1, 1, 2, 2, 3, 2, 3, 4, 3, 4, 4, 1, 2, 3, 4, 5, 5, 6, 6, 5, 7, 7, 6, 8, 8, 7, 8, 5, 6, 7, 8, 
1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 5, 5, 5, 6, 6, 7, 6, 7, 8, 8, 7, 8, 5, 6, 7, 8, 
1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 5, 7, 7, 7, 6, 8, 8, 8, 7, 8, 
1, 2, 3, 1, 4, 2, 3, 4, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 5, 6, 7, 8, 5, 6, 7, 8, 
1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 5, 5, 6, 7, 5, 6, 8, 6, 7, 5, 7, 6, 8, 7, 8, 8, 
1, 1, 2, 2, 3, 1, 3, 4, 2, 4, 1, 3, 2, 4, 3, 4, 5, 6, 7, 8, 5, 6, 7, 8, 5, 5, 6, 6, 7, 7, 8, 8, 
1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 
1, 1, 2, 2, 3, 1, 4, 3, 2, 4, 3, 4, 1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 5, 5, 6, 6, 7, 7, 8, 8, 
1, 1, 1, 2, 2, 2, 1, 3, 3, 3, 2, 4, 4, 4, 3, 4, 5, 5, 6, 6, 7, 7, 5, 8, 8, 6, 5, 7, 6, 8, 7, 8, 
1, 1, 1, 2, 2, 3, 2, 3, 4, 3, 4, 4, 1, 2, 3, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 6, 7, 8, 8, 8, 7, 8, 
1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 
1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 5, 6, 5, 7, 6, 8, 7, 8, 5, 5, 6, 6, 7, 7, 8, 8, 
1, 1, 2, 1, 3, 2, 2, 4, 3, 3, 1, 4, 4, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 5, 5, 6, 6, 7, 7, 8, 8, 
1, 1, 1, 2, 1, 2, 2, 3, 2, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 
1, 1, 1, 2, 2, 2, 3, 3, 3, 1, 4, 4, 4, 2, 3, 4, 5, 6, 7, 5, 5, 5, 8, 6, 6, 6, 7, 7, 7, 8, 8, 8, 
1, 1, 1, 2, 1, 2, 2, 3, 2, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 
1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 
1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 5, 7, 7, 7, 6, 8, 8, 8, 7, 8, 
1, 1, 2, 2, 1, 3, 3, 2, 4, 3, 4, 1, 2, 4, 3, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 
1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 5, 6, 7, 8, 
