./sequence_load_0_loop_10000.log.1-2-3-4, 1000, 999, 997, 906, 906, 686, 991, 916, 862, 710, 710, 505, 862, 569, 642, 479, 710, 373, 710, 278, 373, 289, 505, 143
./sequence_load_0_loop_30000.log.1-2-3-4, 1000, 915, 915, 640, 640, 254, 902, 819, 634, 209, 209, 63, 634, 509, 249, 98, 209, 34, 209, 73, 34, 10, 63, 8
./sequence_load_0_loop_60000.log.1-2-3-4, 1000, 700, 709, 129, 129, 22, 746, 596, 118, 105, 105, 13, 118, 40, 18, 12, 105, 2, 105, 4, 2, 0, 13, 0
./sequence_load_0_loop_90000.log.1-2-3-4, 1000, 288, 243, 134, 134, 14, 216, 137, 113, 87, 87, 7, 113, 48, 10, 6, 87, 5, 87, 8, 5, 1, 7, 1
./sequence_load_1_loop_10000.log.1-2-3-4, 1000, 1000, 1000, 984, 984, 465, 1000, 485, 981, 965, 965, 248, 981, 123, 455, 226, 965, 323, 965, 301, 323, 107, 248, 53
./sequence_load_1_loop_30000.log.1-2-3-4, 1000, 928, 922, 870, 870, 268, 875, 359, 804, 800, 800, 243, 804, 138, 242, 232, 800, 35, 800, 27, 35, 28, 243, 13
./sequence_load_1_loop_60000.log.1-2-3-4, 1000, 881, 878, 878, 878, 42, 874, 54, 873, 868, 868, 27, 873, 44, 30, 10, 868, 24, 868, 21, 24, 10, 27, 3
./sequence_load_1_loop_90000.log.1-2-3-4, 1000, 866, 863, 862, 862, 52, 861, 55, 858, 852, 852, 28, 858, 45, 36, 13, 852, 29, 852, 28, 29, 8, 28, 2
./sequence_load_2_loop_10000.log.1-2-3-4, 1000, 1000, 1000, 920, 920, 826, 999, 998, 930, 737, 737, 731, 930, 736, 834, 731, 737, 561, 737, 415, 561, 557, 731, 434
./sequence_load_2_loop_30000.log.1-2-3-4, 1000, 989, 989, 989, 989, 167, 989, 177, 989, 989, 989, 125, 989, 97, 159, 118, 989, 135, 989, 137, 135, 49, 125, 67
./sequence_load_2_loop_60000.log.1-2-3-4, 1000, 1000, 1000, 1000, 1000, 93, 1000, 96, 1000, 1000, 1000, 72, 1000, 65, 79, 53, 1000, 73, 1000, 73, 73, 61, 72, 13
./sequence_load_2_loop_90000.log.1-2-3-4, 1000, 982, 982, 982, 982, 53, 982, 52, 982, 982, 982, 38, 982, 36, 44, 19, 982, 44, 982, 45, 44, 31, 38, 9
./sequence_load_3_loop_10000.log.1-2-3-4, 1000, 999, 1000, 615, 615, 604, 998, 994, 612, 603, 603, 594, 612, 341, 605, 597, 603, 334, 603, 328, 334, 332, 594, 319
./sequence_load_3_loop_30000.log.1-2-3-4, 1000, 549, 549, 547, 547, 299, 546, 300, 546, 545, 545, 298, 546, 299, 298, 297, 545, 296, 545, 295, 296, 295, 298, 282
./sequence_load_3_loop_60000.log.1-2-3-4, 1000, 1000, 1000, 1000, 1000, 304, 1000, 302, 1000, 1000, 1000, 301, 1000, 299, 298, 294, 1000, 298, 1000, 296, 298, 294, 301, 277
./sequence_load_3_loop_90000.log.1-2-3-4, 1000, 696, 686, 685, 685, 463, 679, 469, 679, 678, 678, 463, 679, 467, 463, 461, 678, 461, 678, 460, 461, 461, 463, 435
./sequence_load_4_loop_10000.log.1-2-3-4, 1000, 1000, 1000, 951, 951, 940, 1000, 997, 938, 929, 929, 921, 938, 841, 929, 921, 929, 833, 929, 824, 833, 828, 921, 748
./sequence_load_4_loop_30000.log.1-2-3-4, 1000, 941, 941, 939, 939, 802, 941, 802, 939, 936, 936, 782, 939, 782, 800, 779, 936, 793, 936, 795, 793, 777, 782, 623
./sequence_load_4_loop_60000.log.1-2-3-4, 1000, 949, 949, 948, 948, 787, 949, 788, 948, 948, 948, 779, 948, 779, 790, 778, 948, 790, 948, 787, 790, 779, 779, 564
./sequence_load_4_loop_90000.log.1-2-3-4, 1000, 949, 949, 949, 949, 808, 949, 808, 949, 948, 948, 807, 949, 806, 808, 805, 948, 806, 948, 806, 806, 805, 807, 615
